,feature,importance,normalized_importance,cumulative_importance
0,IQ_RSI,1552.7,0.06179162687042342,0.06179162687042342
1,IQ_PRICE_VOL_HIST_3MTH,1475.5,0.058719356892709317,0.12051098376313274
2,IQ_VALUE_TRADED,1390.1,0.055320757720471174,0.17583174148360392
3,IQ_VOLUME,1230.9999999999998,0.04898917542184016,0.2248209169054441
4,IQ_BETA_1YR,992.3,0.039489812161731926,0.264310729067176
5,BENCHMARK,974.6,0.038785418656478825,0.30309614772365484
6,IQ_PRICE_VOL_HIST_6MTH,973.1000000000001,0.03872572429162687,0.3418218720152817
7,IQ_BETA_2YR,918.6999999999998,0.03656080865966251,0.3783826806749442
8,IQ_BETA_2YR_RSQ,834.7,0.03321792422795288,0.41160060490289707
9,IQ_RSI_ADJ,825.1999999999999,0.03283985991722381,0.4444404648201209
10,IQ_PRICE_VOL_HIST_2YR,729.9,0.029047277936962747,0.47348774275708366
11,IQ_BETA_1YR_RSQ,721.6,0.028716969118115245,0.5022047118751989
12,IQ_PRICE_VOL_HIST_YR,721.1,0.028697070996497927,0.5309017828716968
13,IQ_SHORT_INTEREST,651.1999999999999,0.025915313594396683,0.5568170964660935
14,IQ_PRICE_VOL_HIST_5YR,644.7,0.025656638013371535,0.582473734479465
15,IQ_SHORT_INTEREST_PERCENT,564.0,0.022445081184336194,0.6049188156638012
16,IQ_TEV_TOTAL_REV,465.2,0.018513212352753897,0.6234320280165552
17,IQ_OPENPRICE,436.5,0.017371060171919767,0.640803088188475
18,IQ_PRICE_TARGET,433.3999999999999,0.017247691817892385,0.6580507800063674
19,IQ_PRICE_SALES,377.90000000000003,0.015039000318369945,0.6730897803247373
20,IQ_BETA_5YR,366.9,0.014601241642788918,0.6876910219675262
21,IQ_DIVIDEND_YIELD,353.1,0.014052053486150906,0.7017430754536771
22,IQ_PBV,345.69999999999993,0.013757561286214576,0.7155006367398916
23,IQ_PTBV,343.2,0.013658070678127982,0.7291587074180196
24,IQ_BETA_5YR_RSQ,327.2,0.013021330786373764,0.7421800382043934
